Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
2700,14.0167,2.4803,8.1167,0.1721,7.54,0.425,9.1867,1.0851
2725,14.8967,2.095,8.27,0.1178,7.5167,0.2679,9.4367,1.0808
2750,15.7533,2.519,8.81,0.3374,8.14,0.2988,9.46,0.8232
2775,16.67,1.8094,8.84,0.2459,8.0833,0.0618,9.5167,0.3757
2800,18.3067,2.5229,9.3433,0.8401,8.1167,0.1862,10.18,0.2692
2825,18.3933,1.8004,9.54,0.8607,8.2867,0.3304,9.9633,0.3065
2850,16.98,1.5184,9.17,0.2765,7.8233,0.5891,9.6133,0.2469
2875,17.0033,2.9972,9.4167,0.445,7.8,0.8131,9.7433,0.2453
2900,15.77,1.7457,9.0,0.3716,7.76,0.8347,9.6867,0.2978
2925,14.8733,2.2283,8.6533,0.6614,7.56,0.5025,9.52,0.6872
2950,15.5167,2.3496,8.73,0.5559,7.6267,0.4975,9.7067,0.7077
2975,15.2567,0.8312,8.7133,0.6559,7.61,0.2093,9.8733,0.4747
3000,15.3867,0.8523,8.9167,0.4213,7.6533,0.1558,9.4067,0.2651
3025,16.1267,0.4224,8.8533,0.2762,7.51,0.507,9.5867,0.1223
3050,16.6133,1.2819,8.8033,0.6959,7.33,0.2847,9.82,0.1219
3075,17.1067,2.2823,9.0267,0.7947,7.54,0.4627,9.5767,0.3044
3100,17.8133,2.1742,9.0367,0.6461,7.5867,0.2156,9.95,0.5859
3125,17.3133,1.4291,8.8333,0.3437,7.7333,0.4058,9.94,0.7035
3150,17.1833,1.432,8.6733,0.4246,7.67,0.3822,9.72,0.8354
3175,17.5167,1.789,8.36,0.6002,7.2967,0.2015,10.0167,0.8037
3200,18.0833,1.9987,8.4267,1.1682,7.2267,0.3561,10.1,1.181
3225,18.9467,2.2755,8.8533,1.1283,7.3867,0.2871,10.12,1.5742
3250,18.72,0.6489,8.93,1.1583,7.5667,0.1666,10.14,1.4506
3275,16.56,0.4954,8.6367,0.6836,7.61,0.5335,9.8433,0.6312
3300,16.2067,0.2896,8.62,0.3735,7.7267,0.5594,9.9733,0.1725
3325,15.5833,0.5509,8.3,0.2839,7.3367,0.8401,10.0867,0.2156
3350,15.6233,0.8062,8.47,0.8396,7.41,0.5826,9.9867,0.4034
3375,17.7333,1.5024,8.81,0.3796,7.29,0.4246,10.13,0.0294
3400,17.77,2.3902,8.8167,0.045,7.2067,0.4838,9.95,0.5307
3425,18.1933,1.7899,8.9167,0.2205,7.5133,0.5265,9.4967,0.7859
3450,17.51,1.7364,8.71,0.7431,7.56,0.5463,9.6167,1.014
3475,17.27,0.8443,8.86,0.6464,7.8833,0.4934,9.42,0.9948
3500,16.1867,1.1856,8.9033,0.7796,7.7033,0.1443,8.9667,0.2604
3525,16.25,1.8311,9.1033,1.1297,7.49,0.4983,9.3567,0.3975
3550,17.32,2.0383,9.2733,1.0567,7.29,0.5192,9.4833,0.3942
3575,16.83,2.6382,9.1667,0.5024,7.03,0.4023,9.42,0.5452
