Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
3175,21.4,2.0172,10.3767,1.1689,8.81,0.5256,12.42,0.6582
3200,22.2333,1.907,10.4367,1.6216,8.67,0.8828,12.1733,0.6654
3225,21.6633,2.4758,10.66,1.5714,8.7667,0.6504,12.0433,0.6394
3250,21.79,1.5559,10.53,0.5181,8.6833,0.2661,12.2767,0.4383
3275,20.48,2.097,9.8967,0.1873,8.4267,0.3738,12.07,0.2434
3300,20.5,1.49,9.9033,0.8145,8.79,0.3262,12.1833,0.603
3325,20.9833,0.597,9.35,0.9916,8.6467,0.2852,12.1167,0.5639
3350,21.56,1.0697,9.21,0.7474,8.86,0.0963,11.8133,0.6236
3375,22.1767,1.8684,9.7633,1.1332,9.1067,0.7005,12.0533,0.868
3400,22.3033,1.0804,9.77,0.7045,8.9167,0.638,11.93,1.1707
3425,22.0867,1.3128,9.3967,0.6249,9.0633,0.6661,12.47,0.7762
3450,20.42,2.7041,9.08,1.0179,9.1767,0.5978,12.82,0.5673
3475,21.0533,1.0915,9.2067,1.5887,9.19,0.4537,12.82,0.1961
3500,20.06,0.5982,9.0567,1.2692,9.4833,0.484,12.72,0.8494
3525,20.0033,1.3551,9.1067,1.5039,9.07,1.1121,12.1633,1.042
3550,21.0567,2.1422,9.2867,1.153,8.6367,1.1045,12.0,0.87
3575,21.44,1.6435,8.9733,0.8048,8.7667,1.1562,11.7367,0.4539
3600,22.8433,0.9555,9.7467,1.1629,8.33,0.4357,11.8967,0.5139
3625,23.2233,0.5474,9.9467,1.1502,8.58,0.298,12.0133,0.5069
3650,23.2,2.9477,9.4,0.7925,8.69,0.2943,11.6867,0.5863
3675,22.2967,2.127,9.54,0.4864,8.42,0.7629,11.9333,0.8142
3700,20.8067,2.0169,8.6667,0.3272,8.57,1.0395,11.79,0.8999
3725,21.3833,2.6705,8.5667,0.6664,8.9567,0.9642,12.16,0.7276
3750,21.8667,0.9083,9.18,0.2128,9.3067,0.7299,12.5567,0.2716
3775,22.78,0.7139,8.8767,0.4199,9.09,0.5923,12.16,0.4206
3800,23.03,1.1163,8.8033,0.4058,9.06,0.2998,12.0067,0.402
3825,23.4467,0.9481,8.73,0.1846,8.8167,0.6883,11.89,0.5417
3850,23.3,1.4263,8.4533,0.3704,8.7067,0.6269,12.0433,0.8947
3875,22.9967,0.7796,8.7733,0.4282,9.4267,0.7961,12.4,0.8002
3900,23.5433,0.1887,9.4067,0.5066,9.5133,0.6959,12.6667,0.4507
3925,22.6633,0.4926,10.2133,0.6775,9.9,0.4695,12.78,0.3159
3950,21.5733,1.2429,10.03,0.9415,9.92,0.1791,12.2433,0.3754
3975,20.92,1.2223,9.9133,0.6898,9.43,0.2434,12.3233,0.5584
4000,20.65,1.4166,9.8067,0.5664,9.5367,0.6061,12.29,0.4182
4025,20.77,1.5234,9.3267,0.841,9.2467,0.5311,12.19,0.4631
4050,21.59,0.9252,9.6667,0.8684,9.13,0.6668,12.3867,0.3756
4075,21.19,0.6697,9.6767,1.1111,9.1933,0.9792,12.0767,0.0896
4100,20.7967,0.6018,9.5533,0.6943,9.0667,0.6486,11.9433,0.1357
4125,19.8133,2.1055,9.3067,1.0094,8.95,1.2943,11.49,0.3685
4150,20.54,2.0831,9.1933,0.801,9.2833,1.2189,11.9567,0.3597
4175,21.0367,1.6099,9.2867,1.2341,9.1967,0.8663,12.3033,0.3704
4200,22.3567,1.6403,9.3167,1.2464,9.1467,0.9353,12.44,0.3556
4225,23.4133,0.6139,9.4267,0.9613,9.59,0.3116,12.76,0.7614
4250,23.39,0.4255,9.37,0.8196,9.4233,0.4208,12.2333,0.8426
4275,24.3433,0.6116,9.7433,1.0068,9.58,0.2718,12.0667,0.4909
4300,22.96,1.4709,9.7467,0.7391,9.9667,0.2705,11.9233,0.3688
4325,21.72,2.5697,9.78,0.8455,9.4333,0.5339,11.9133,0.0579
4350,20.3267,3.165,9.91,0.743,9.5533,0.7016,11.7833,0.2834
4375,20.6233,3.4043,9.0667,0.6172,9.3533,0.9402,11.6833,0.2989
4400,21.19,3.4611,8.6333,0.0974,8.9,0.2698,11.6333,0.5155
4425,22.38,1.7568,8.83,0.9965,9.2567,0.2125,11.88,0.7284
4450,23.6633,0.2878,8.9967,1.3456,9.2567,0.3101,12.2767,0.4259
4475,22.2167,0.904,9.4567,1.3297,9.49,0.4879,12.4667,0.8572
4500,22.2467,0.9043,9.7833,0.939,9.3933,0.4232,12.79,0.6477
4525,21.8867,0.9471,9.79,0.2617,9.4233,0.7467,12.4567,0.4075
4550,21.6067,1.7718,9.4333,0.1611,9.57,0.2939,12.4567,1.0485
4575,21.3333,1.0533,9.1767,0.2243,9.33,0.2061,11.96,0.6567
4600,21.8,1.5435,9.1733,0.0896,9.49,0.554,11.9767,0.2625
4625,22.94,1.2909,9.1733,0.7114,9.28,0.3318,12.0133,0.5877
4650,23.2933,2.7955,9.5767,1.1192,8.8967,0.5735,12.19,0.6287
4675,24.21,1.5699,9.9267,1.4703,8.59,0.5021,12.2767,0.5191
4700,24.2533,1.4389,9.9467,1.2682,8.9767,0.7611,12.7833,0.5141
4725,21.6633,1.1167,9.68,0.3838,9.0167,0.6851,12.7533,0.6048
4750,21.6367,1.8654,9.5667,0.8276,9.46,0.6492,12.6533,0.454
4775,22.11,1.9391,9.5633,0.8451,9.96,0.6507,12.9367,0.3531
4800,20.5067,0.6969,9.1767,0.6369,9.4967,0.4481,11.99,0.5923
4825,22.2633,0.4297,9.5533,0.7509,9.6033,0.6702,11.9767,0.3941
4850,21.7767,1.0935,9.61,0.2566,9.5433,0.5868,12.0667,0.3065
4875,21.9133,1.9791,10.1333,0.4507,9.7867,0.9609,12.6267,0.4633
4900,23.4033,1.963,10.7067,0.3035,10.13,0.8828,13.14,0.4493
4925,22.3233,1.4896,10.0033,0.1926,10.1667,1.1777,13.1433,0.5377
4950,23.1333,1.8649,9.71,0.5271,10.04,1.3126,12.7433,0.2117
4975,22.6733,2.2429,9.55,1.0318,9.9567,1.1878,12.37,0.6745
