Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
2975,8.73,1.0007,7.88,0.5028,7.09,0.507,9.6467,0.3009
3000,9.0,1.3826,7.6733,0.5302,6.7767,0.3323,9.17,0.108
3025,8.9833,1.6521,7.8333,0.5979,6.6867,0.3058,9.2667,0.4845
3050,8.7433,1.946,7.8833,0.7096,6.6433,0.4635,9.0267,0.2733
3075,9.1233,2.0705,8.21,0.8132,7.1167,0.459,9.5167,0.3565
3100,8.6567,1.3905,8.3267,0.5086,7.46,0.5243,9.64,0.4815
3125,8.87,1.464,8.28,0.4196,7.7567,0.8108,9.65,0.3184
3150,8.9633,1.2458,8.1633,0.1725,7.7467,0.4432,9.8667,0.6753
3175,8.8733,1.4779,8.0933,0.4297,7.5,0.4041,9.75,0.5659
3200,9.2767,1.9702,8.3367,0.3728,7.4467,0.4846,9.8667,0.212
3225,9.6333,1.7621,8.4733,0.646,7.4867,0.4498,10.03,0.3001
3250,9.34,1.5956,8.4467,0.5771,7.6267,0.5846,10.13,0.4819
3275,8.76,1.0763,8.0433,0.6165,7.4033,0.6107,9.8,0.4917
3300,8.6067,0.8399,8.16,0.8829,7.3033,0.6753,9.9467,0.429
3325,8.1067,0.694,7.71,1.0273,6.9433,0.9648,9.7767,0.7994
3350,8.0933,0.5572,7.6467,0.7786,6.7967,0.7409,9.6667,0.319
3375,8.4833,0.7123,7.8033,0.645,6.6967,0.5681,9.6933,0.1347
3400,8.5733,1.193,7.5833,0.4871,6.7233,0.1327,9.6533,0.5084
3425,8.5,1.13,7.9467,0.7502,7.0633,0.2546,9.66,0.5267
3450,8.6933,1.282,8.21,0.596,7.3633,0.4505,9.5,0.7438
3475,8.91,1.9523,8.41,0.5855,7.6767,0.4835,9.6533,0.8615
3500,9.0,1.8634,8.3033,0.2792,7.69,0.4532,9.3767,0.2073
3525,9.18,1.9491,8.18,0.3471,7.5667,0.3307,9.27,0.0829
3550,9.3267,2.1572,7.9333,0.5631,7.3367,0.0953,9.3733,0.3348
3575,9.31,2.4449,7.8467,0.6959,7.3333,0.0818,9.3467,0.6596
3600,9.4967,2.4341,8.0433,0.3653,7.37,0.2118,9.76,0.2061
3625,9.6167,2.4419,7.8433,0.3201,7.2933,0.0591,9.8733,0.1347
3650,9.7933,2.4293,7.58,0.2628,7.15,0.2334,9.7767,0.4321
3675,9.64,1.7031,7.9033,0.3554,7.49,0.3232,9.68,0.3041
3700,9.59,1.3692,7.9,0.279,7.5467,0.3226,9.2467,0.6048
3725,10.0733,1.3973,8.22,0.0779,7.71,0.3494,9.43,0.2692
3750,10.18,1.3949,8.48,0.1208,7.9633,0.5774,9.5867,0.4671
3775,10.2933,1.8264,7.9867,0.2996,7.32,0.2688,9.2267,0.5989
3800,10.28,1.7215,8.2333,0.142,7.3333,0.253,9.5267,0.8136
3825,10.05,1.4991,8.0833,0.2933,7.1533,0.4339,9.4033,0.8043
3850,10.3433,1.9534,8.2367,0.3853,7.0733,0.3138,9.3867,0.5771
3875,10.4767,2.2292,8.5467,0.2504,7.38,0.3407,9.5933,0.5688
3900,10.8733,2.6111,8.1167,0.1276,7.16,0.4271,9.45,0.425
3925,11.3467,3.3151,8.12,0.1871,7.2133,0.3198,9.66,0.3522
3950,11.06,3.0064,7.7833,0.2575,7.2767,0.4959,9.5067,0.5292
3975,11.4833,2.8607,7.9633,0.3021,7.37,0.5835,9.6667,0.3535
4000,11.2433,3.07,8.04,0.4306,7.3767,0.5951,10.1,0.9804
4025,11.0433,2.3949,8.1567,0.1674,7.58,0.6438,9.6533,0.7856
4050,10.58,2.0086,8.12,0.1152,7.51,0.6164,9.8433,0.4145
4075,9.5467,1.5771,7.7767,0.0732,7.3667,0.7273,9.7567,0.6483
4100,9.25,1.2295,7.61,0.2981,7.4167,1.0213,9.29,0.3074
4125,8.73,0.8842,7.4167,0.3792,7.17,0.6655,9.3933,0.7054
4150,8.91,1.083,7.73,0.3612,7.29,0.7033,9.39,0.5593
4175,9.2767,1.2886,7.61,0.6011,7.0767,0.5669,9.4033,0.7576
4200,9.5367,2.286,7.67,0.4385,7.1933,0.5162,9.6067,0.7401
4225,9.7467,2.6602,8.0933,0.245,7.3833,0.2037,9.6667,0.5937
4250,9.9633,2.2621,8.05,0.2031,7.5133,0.0957,9.9067,0.4332
4275,10.1333,2.3557,8.23,0.4001,7.76,0.4114,9.82,0.3864
4300,10.18,1.6278,8.4267,0.226,7.7667,0.4597,9.7867,0.8429
4325,9.8067,1.3089,7.8967,0.2745,7.49,0.3419,9.4,0.5162
4350,9.8033,1.0293,7.9233,0.4474,7.3767,0.2431,8.9633,0.5987
4375,9.7567,0.9874,8.2,0.6327,7.1167,0.1922,9.31,0.8196
4400,9.88,1.7585,7.8567,0.3737,6.8833,0.1517,9.2,0.529
4425,10.57,2.6406,8.17,0.3315,7.03,0.102,9.5433,0.7074
4450,11.04,3.5868,8.1633,0.5061,7.01,0.2677,10.06,0.4253
4475,11.5333,3.7758,7.85,0.3699,7.3,0.1435,9.79,0.1364
4500,11.54,3.1991,8.0933,0.1613,7.6133,0.2811,10.25,0.4473
4525,11.7067,2.6979,8.49,0.4304,7.76,0.4739,10.6167,0.825
4550,11.2733,2.3191,8.42,0.1023,7.68,0.2833,10.3433,0.408
4575,10.6633,1.8572,8.25,0.2337,7.5233,0.4084,10.2667,0.1821
4600,10.8233,2.3152,8.0267,0.1702,7.24,0.0787,9.91,0.3514
4625,11.15,3.0438,7.62,0.5094,7.0433,0.2762,9.6467,0.4478
4650,11.1233,2.8454,7.5933,0.237,7.0633,0.1761,9.4567,0.1228
4675,11.7,3.6831,7.9533,0.2786,7.0067,0.238,9.7,0.1105
4700,11.98,3.3525,8.01,0.4246,7.2,0.2328,9.8467,0.2661
4725,11.34,2.4819,8.11,0.4983,7.0967,0.0834,9.8467,0.3886
4750,11.3833,2.4964,8.34,0.7873,7.16,0.1275,10.2167,0.4671
4775,11.0267,2.393,8.0333,0.7926,7.24,0.3805,10.2267,0.6699
4800,10.16,2.6636,7.9967,0.8109,7.0133,0.5308,9.8067,0.9833
4825,9.9267,3.0482,7.9233,0.7947,7.2067,0.4532,9.71,1.0566
4850,9.9533,3.087,7.9667,0.5149,7.3567,0.0759,9.5767,0.6886
4875,10.1933,2.9181,8.4867,0.4845,7.5633,0.2876,9.8533,0.4429
4900,10.3467,2.612,8.6433,0.2269,7.8333,0.4499,10.2533,0.3997
4925,10.34,2.4678,8.3167,0.363,7.6367,0.0896,10.2633,0.1898
4950,10.1233,2.2251,8.0833,0.896,7.2967,0.4308,10.12,0.5133
4975,9.6467,1.9513,7.47,0.8003,7.22,0.6095,9.6333,0.5676
