Episode,PPO mean,PPO std,Double DQN mean,Double DQN std,DQN mean,DQN std,Q-learning mean,Q-learning std
2675,0.38,0.0294,0.1,0.0141,0.06,0.0082,0.02,0.0082
2700,0.3733,0.0262,0.1067,0.0094,0.0633,0.0125,0.01,0.0082
2725,0.3667,0.0125,0.11,0.0082,0.07,0.0141,0.01,0.0082
2750,0.37,0.0327,0.1233,0.0047,0.07,0.0163,0.01,0.0082
2775,0.3533,0.0249,0.1067,0.017,0.08,0.0,0.0067,0.0047
2800,0.36,0.0141,0.1067,0.0287,0.0833,0.034,0.0133,0.0047
2825,0.35,0.0424,0.1067,0.0094,0.0833,0.0403,0.02,0.0141
2850,0.3367,0.017,0.1033,0.0125,0.08,0.0497,0.0233,0.0125
2875,0.33,0.0356,0.0967,0.0249,0.0667,0.0386,0.02,0.0163
2900,0.3367,0.0624,0.0933,0.033,0.07,0.0163,0.02,0.0082
2925,0.3167,0.0236,0.1,0.0432,0.07,0.0216,0.0167,0.0125
2950,0.3267,0.0262,0.1,0.0294,0.0533,0.017,0.0267,0.0047
2975,0.35,0.0327,0.1,0.0141,0.05,0.0,0.0233,0.0047
3000,0.36,0.0356,0.0867,0.0125,0.0533,0.0047,0.03,0.0082
3025,0.3667,0.0519,0.0667,0.0205,0.0533,0.0125,0.0367,0.0094
3050,0.35,0.0245,0.0533,0.034,0.06,0.0082,0.0267,0.0094
3075,0.3567,0.0386,0.0667,0.0249,0.0733,0.0047,0.0267,0.0094
3100,0.3533,0.0094,0.09,0.0283,0.08,0.0141,0.0167,0.0047
3125,0.36,0.0082,0.0933,0.0262,0.0867,0.0094,0.01,0.0
3150,0.3867,0.0236,0.1,0.0245,0.11,0.0294,0.0133,0.0094
3175,0.3733,0.0287,0.0833,0.0236,0.1033,0.0287,0.0233,0.0047
3200,0.3733,0.0094,0.0633,0.0125,0.0933,0.0419,0.0233,0.0047
3225,0.37,0.0294,0.0767,0.0205,0.0767,0.017,0.0267,0.0125
3250,0.36,0.0648,0.0733,0.0249,0.0467,0.0125,0.0233,0.017
3275,0.35,0.051,0.0867,0.0125,0.0367,0.0125,0.0133,0.0094
3300,0.3467,0.0478,0.0867,0.0125,0.02,0.0082,0.0133,0.0047
3325,0.3567,0.017,0.0733,0.0189,0.03,0.0,0.0067,0.0047
3350,0.3533,0.0125,0.0967,0.0125,0.05,0.0082,0.01,0.0
3375,0.37,0.0455,0.09,0.0245,0.0567,0.0125,0.01,0.0
3400,0.3667,0.0094,0.09,0.0245,0.08,0.0141,0.0067,0.0047
3425,0.37,0.0432,0.09,0.0283,0.09,0.0245,0.0067,0.0047
3450,0.3833,0.066,0.06,0.0,0.0733,0.0236,0.0067,0.0047
3475,0.3767,0.0838,0.0467,0.017,0.0767,0.033,0.0133,0.0047
3500,0.3933,0.0478,0.07,0.0082,0.0667,0.0262,0.02,0.0082
